;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9788831780988;La canzone di Achille;Miller Madeline;MARSILIO;FICTION;10/01/2019;STRANIERO
9788845926983;Follia;McGrath Patrick;ADELPHI;FICTION;21/03/2012;STRANIERO
9788809932982;Tascabili narrativa Giunti 1+1 (2023);AA.VV.;GIUNTI EDITORE;UNKNOWN;05/07/2023;
9788845938115;L'ultima cosa bella sulla faccia della terra;Bible Michael;ADELPHI;FICTION;05/09/2023;STRANIERO
9788867904730;Ridi a CreepyPelle;Pera Toons;TUNUê;BAMBINI/RAGAZZI;04/10/2022;
9788809959699;Teddy;Rekulak Jason;GIUNTI EDITORE;FICTION;07/09/2022;STRANIERO
9788804769828;Twisted love. Ediz. italiana;Huang Ana;MONDADORI;FICTION;28/03/2023;STRANIERO
9788811608769;FinchÇ il caffä ä caldo;Kawaguchi Toshikazu;GARZANTI;FICTION;12/03/2020;STRANIERO
9788834922392;Tokyo revengers. Vol. 30;Wakui Ken;EDIZIONI BD;FICTION;26/09/2023;STRANIERO
9788811008002;I fiori hanno sempre ragione;Schira Roberta;GARZANTI;FICTION;05/09/2023;ITALIANO
9788830460584;I predoni;Cussler Clive;LONGANESI;FICTION;12/09/2023;STRANIERO
9788809885134;Il mio primo dizionario. Nuovo MIOT;AA.VV.;GIUNTI EDITORE;BAMBINI/RAGAZZI;27/01/2021;
9788817178495;Stella di mare;Pulixi Piergiorgio;RIZZOLI;FICTION;05/09/2023;ITALIANO
9788864201870;One piece. New edition. Vol. 1;Oda Eiichiro;STAR COMICS;FICTION;20/02/2008;STRANIERO
9788822742698;Matrimonio di convenienza;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;28/05/2020;ITALIANO
9791259673824;Cicatrice;G¢mez-Jurado Juan;FAZI;FICTION;03/10/2023;STRANIERO
9788809971066;Le chiavi di casa;Ricchiuto Paolo;GIUNTI EDITORE;FICTION;27/09/2023;ITALIANO
9788806259570;Il passeggero;McCarthy Cormac;EINAUDI;FICTION;02/05/2023;STRANIERO
9788859015833;La linea del 20. Metodo analogico per l'apprendimento del calcolo;Bortolato Camillo;ERICKSON;NON FICTION GENERALI;12/07/2018;
9788822773630;La veritÖ ä che non ti odio abbastanza;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;07/02/2023;ITALIANO
9788855059176;Niente puï fermarti. Can't hurt me. Domina la mente e sfida l'impossibile;Goggins David;VALLARDI A.;NON FICTION VARIE;25/04/2023;
9788806239831;Le otto montagne;Cognetti Paolo;EINAUDI;FICTION;23/10/2018;ITALIANO
9788804759485;Elon Musk;Isaacson Walter;MONDADORI;NON FICTION GENERALI;12/09/2023;
9788817178990;Il secolo autoritario. PerchÇ i buoni non vincono mai;Mieli Paolo;RIZZOLI;NON FICTION GENERALI;29/08/2023;
9788817177153;La salute ä servita. L'alimentazione vegetale come strumento di cura e prevenzione;Goggi Silvia;RIZZOLI;NON FICTION VARIE;26/09/2023;
9788807035579;Il magico studio fotografico di Hirasaka;Hiiragi Sanaka;FELTRINELLI;FICTION;29/08/2023;STRANIERO
9788845407895;101 riflessioni che cambiano il tuo modo di pensare;Wiest Brianna;SONZOGNO;NON FICTION VARIE;17/03/2022;
9788829601356;Il ladro di foglie;Hemming Alice;EMME EDIZIONI;BAMBINI/RAGAZZI;07/09/2021;
9788806254476;Un buon posto in cui fermarsi;Bussola Matteo;EINAUDI;FICTION;20/06/2023;ITALIANO
9788822643353;Gachiakuta. Vol. 1;Urana Kei;STAR COMICS;FICTION;04/10/2023;
